"id","name","short_name"
1,Afghanistan,AFG
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Anguilla,AIA
8,Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
13,Australia,AUS
14,Austria,AUT
15,Azerbaijan,AZE
16,Bahamas,BHS
17,Bahrain,BHR
18,Bangladesh,BGD
19,Barbados,BRB
20,Belarus,BLR
21,Belgium,BEL
22,Belize,BLZ
23,Benin,BEN
24,Bermuda,BMU
25,Bhutan,BTN
26,Bolivia,BOL
27,Bonaire,BES
28,Bosnia and Herzegovina,BIH
29,Botswana,BWA
30,Bouvet Island,BVT
31,Brazil,BRA
32,British Indian Ocean Territory,IOT
33,Brunei Darussalam,BRN
34,Bulgaria,BGR
35,Burkina Faso,BFA
36,Burundi,BDI
37,Cambodia,KHM
38,Cameroon,CMR
39,Canada,CAN
40,Cape Verde,CPV
41,Cayman Islands,CYM
42,Central African Republic,CAF
43,Chad,TCD
44,Chile,CHL
45,China,CHN
46,Christmas Island,CXR
47,Cocos (Keeling) Islands,CCK
48,Colombia,COL
49,Comoros,COM
50,Congo,COG
51,Democratic Republic of the Congo,COD
52,Cook Islands,COK
53,Costa Rica,CRI
54,Croatia,HRV
55,Cuba,CUB
56,Curacao,CUW
57,Cyprus,CYP
58,Czech Republic,CZE
59,Cote d'Ivoire,CIV
60,Denmark,DNK
61,Djibouti,DJI
62,Dominica,DMA
63,Dominican Republic,DOM
64,Ecuador,ECU
65,Egypt,EGY
66,El Salvador,SLV
67,Equatorial Guinea,GNQ
68,Eritrea,ERI
69,Estonia,EST
70,Ethiopia,ETH
71,Falkland Islands (Malvinas),FLK
72,Faroe Islands,FRO
73,Fiji,FJI
74,Finland,FIN
75,France,FRA
76,French Guiana,GUF
77,French Polynesia,PYF
78,French Southern Territories,ATF
79,Gabon,GAB
80,Gambia,GMB
81,Georgia,GEO
82,Germany,DEU
83,Ghana,GHA
84,Gibraltar,GIB
85,Greece,GRC
86,Greenland,GRL
87,Grenada,GRD
88,Guadeloupe,GLP
